id,title,img,price,category
55,"Hoover Smartwash Automatic Carpet Cleaner, FH52000, Turquoise 43.5 Inches",71h0HEbQF-L._AC_UL320_.jpg,229.99,Vacuum Cleaners & Floor Care
56,"Kenmore KW2001 Portable Carpet Spot Cleaner & Pet Stain Vacuum, Gray",71ihr7pYjpL._AC_UL320_.jpg,149.99,Vacuum Cleaners & Floor Care
57,"AIRROBO Robot Vacuum Cleaner with 2800Pa Suction Power, App Control, 120 Mins Runtime, Self-Charging Robotic Vacuum Cleaner for Low Carpet, Pet Hair, Hard Floors, P20",81wCNXD4F0L._AC_UL320_.jpg,129.99,Vacuum Cleaners & Floor Care
58,"Kenmore 81214 200 Series Bagged Canister Vacuum Cleaning Tools, Orange",517WLxRjZFL._AC_UL320_.jpg,219.99,Vacuum Cleaners & Floor Care
59,"Miele Classic C1 Pure Suction Bagged Canister Vacuum, Graphite Grey - Portable, Household",61hWP9f69CL._AC_UL320_.jpg,334.9,Vacuum Cleaners & Floor Care
60,"iRobot Roomba j7+ (7550) Self-Emptying Robot Vacuum – Avoids Common Obstacles Like Socks, Shoes, and Pet Waste, Empties Itself for 60 Days, Smart Mapping, Works with Alexa",712hw6D54KL._AC_UL320_.jpg,600.0,Vacuum Cleaners & Floor Care
61,"Wagner Spraytech C900054 905e AutoRight Multi-Purpose Steam Cleaner, 12 Accessories Included, Power Steamer for cleaning, Color May Vary",61PmY983ddL._AC_UL320_.jpg,114.71,Vacuum Cleaners & Floor Care
62,"Hoover WindTunnel Cord Rewind Pro Bagless Upright Vacuum Cleaner, For Carpet and Hard Floors, UH71300V, Black",51EUOnuv2CL._AC_UL320_.jpg,108.99,Vacuum Cleaners & Floor Care
63,"BuTure Cordless Vacuum Cleaner, 400W 33Kpa Powerful Stick Vacuum with 55min Runtime Detachable Battery, Touch Display and 1.2L Large Dust Cup, Vacuum Cleaners for Hardwood Floor Carpet Car Pet",61WFQMlqqhL._AC_UL320_.jpg,199.99,Vacuum Cleaners & Floor Care
64,"BISSELL ProHeat 2X Revolution Pet Pro Plus, 3588F, Upright Deep Cleaner",71dYigilsTL._AC_UL320_.jpg,308.99,Vacuum Cleaners & Floor Care
65,"iRobot Roomba i4 EVO (4150) Wi-Fi Connected Robot Vacuum – Now Clean by Room with Smart Mapping Compatible with Alexa Ideal for Pet Hair Carpets & Hard Floors, Roomba i4",91Fxo+xCydL._AC_UL320_.jpg,280.0,Vacuum Cleaners & Floor Care
66,"Tineco Pure ONE S11 Cordless Vacuum Cleaner, Smart Stick Handheld Vacuum Strong Suction & Lightweight, Cordless Handheld Vacuum Deep Clean Hair, Hard Floor, Carpet, Car (Pure ONE S11 Grey)",6145AYqak1L._AC_UL320_.jpg,299.99,Vacuum Cleaners & Floor Care
67,"Belife BVC11 Cordless Vacuum Cleaner, 25Kpa Stick Vacuum Cleaners for Home Hardwood Floor Carpet Pet Hair, 380W Powerful Brushless Motor, Up to 40mins Runtime, LED Touch Display, Blue",61dPoVQzvmL._AC_UL320_.jpg,129.99,Vacuum Cleaners & Floor Care
